-0.04,-0.69,0.67,-8.69,-17.93,5.7,0.05,0.91,0.41,0.24,6.95,13.57,0
-0.04,-0.72,0.69,-7.47,-15.43,4.82,0.04,0.95,0.4,-0.85,5.88,14.94,0
-0.02,-0.8,0.77,-4.18,-11.46,6.37,0.04,1.0,0.37,4.85,8.6,16.01,0
-0.05,-0.84,0.89,0.61,-4.88,10.27,0.02,1.07,0.37,8.45,12.68,12.2,0
-0.19,-0.87,0.91,-21.04,0.79,24.76,-0.08,1.13,0.44,2.41,14.6,2.1,0
-0.38,-0.96,0.89,-53.75,3.08,48.02,-0.19,1.11,0.5,-7.41,19.48,-9.57,0
-0.51,-1.03,0.9,-69.54,8.81,74.39,-0.34,1.12,0.46,-28.93,38.78,-15.09,0
-0.57,-1.0,0.95,-43.57,16.25,94.63,-0.48,1.02,0.38,-54.6,62.71,-33.99,0
-0.67,-0.92,0.92,-1.59,25.82,107.35,-0.62,0.94,0.39,-51.25,80.37,-58.6,0
-0.72,-0.73,0.81,35.61,41.4,116.59,-0.73,0.78,0.41,-27.93,91.74,-83.99,0
-0.7,-0.58,0.67,48.05,51.83,129.76,-0.71,0.72,0.39,-7.2,102.07,-101.04,0
-0.63,-0.51,0.56,47.71,54.94,141.16,-0.58,0.75,0.38,8.26,116.25,-116.86,0
-0.63,-0.35,0.41,36.92,48.78,144.18,-0.47,0.72,0.42,16.62,133.48,-129.02,0
-0.6,-0.29,0.29,30.61,36.74,136.34,-0.46,0.72,0.42,9.48,145.55,-125.55,0
-0.55,-0.2,0.18,33.72,21.25,115.64,-0.41,0.68,0.42,8.48,146.49,-109.02,0
-0.45,-0.09,0.08,39.51,2.1,84.02,-0.34,0.61,0.43,9.66,121.86,-74.45,0
-0.3,0.02,-0.01,44.73,-19.66,42.01,-0.24,0.54,0.47,22.07,92.41,-30.64,0
-0.07,0.15,-0.08,29.6,-33.41,-10.82,-0.04,0.57,0.5,34.88,53.14,19.24,0
0.31,0.08,-0.27,28.45,-68.99,-65.21,0.26,0.57,0.55,40.37,-1.28,78.75,0
0.7,0.04,-0.33,26.8,-105.58,-120.12,0.7,0.53,0.46,35.34,-66.95,147.38,0
1.01,0.12,-0.37,-8.96,-144.66,-163.57,1.06,0.36,0.23,22.87,-105.98,209.24,0
1.28,0.17,-0.43,-62.29,-180.79,-197.07,1.21,0.26,0.03,0.76,-113.54,237.13,0
1.53,0.11,-0.41,-122.9,-215.43,-221.65,1.19,0.26,0.04,-6.95,-127.68,254.09,0
1.73,0.02,-0.4,-153.66,-242.2,-249.39,1.2,0.3,0.02,-7.9,-161.37,279.48,0
1.9,-0.05,-0.46,-138.72,-261.16,-282.35,1.27,0.41,-0.07,-3.66,-181.68,312.07,0
2.32,-0.71,-0.15,-140.98,-275.82,-300.79,1.51,0.7,-0.27,5.0,-172.26,335.88,0
2.85,-1.35,0.63,-140.21,-261.31,-293.05,2.05,0.87,0.03,63.29,-191.46,352.16,0
2.73,-1.23,0.88,-169.88,-238.14,-267.56,2.48,0.85,0.04,52.74,-185.61,302.93,0
2.32,-0.74,-0.07,-157.38,-216.43,-254.79,1.91,1.59,0.13,-5.85,-88.08,254.66,0
